,Variable,Model,Type,Correlation
241,NPP,MPI-ESM1-2-HR,Correlation_npp_k,
242,MLD,MPI-ESM1-2-HR,Correlation_npp_k,-0.070794748546789
243,Nitrate,MPI-ESM1-2-HR,Correlation_npp_k,-0.5249346407304023
244,PAR,MPI-ESM1-2-HR,Correlation_npp_k,0.586524200911878
245,Sea ice fraction,MPI-ESM1-2-HR,Correlation_npp_k,0.0961908607579806
246,SST,MPI-ESM1-2-HR,Correlation_npp_k,0.13976104459626
247,Export,EC-Earth3-CC,Correlation_npp_k,0.711577547959394
248,Export,MPI-ESM1-2-HR,Correlation_npp_k,0.761538019677337
249,Export,ACCESS-ESM1-5,Correlation_npp_k,0.920251182247126
250,Export,CMCC-ESM2,Correlation_npp_k,0.616666123818689
251,Export,IPSL-CM6A-LR,Correlation_npp_k,0.603993890990296
