,Variable,Model,Zone,Type,Correlation
254,NPP,ACCESS-ESM1-5,Inc,Correlation_ice_k,0.4569786725147191
255,NPP,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.4348823866896156
256,MLD,ACCESS-ESM1-5,Inc,Correlation_ice_k,-0.3116494785734256
257,MLD,ACCESS-ESM1-5,Dec,Correlation_ice_k,0.1267928858290304
258,Nitrate,ACCESS-ESM1-5,Inc,Correlation_ice_k,-0.3685960174970754
259,Nitrate,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.0189328743545611
260,PAR,ACCESS-ESM1-5,Inc,Correlation_ice_k,0.4412242962457176
261,PAR,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.1772805507745266
262,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation_ice_k,
263,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_ice_k,
264,SST,ACCESS-ESM1-5,Inc,Correlation_ice_k,-0.5929584310809214
265,SST,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.6775674125071716
266,Iron,CMCC-ESM2,Inc,Correlation_ice_k,0.0377581325522215
267,Iron,CMCC-ESM2,Dec,Correlation_ice_k,-0.3383388155881827
268,NPP,CMCC-ESM2,Inc,Correlation_ice_k,0.1394950948119681
269,NPP,CMCC-ESM2,Dec,Correlation_ice_k,0.2496512640840961
270,Diatom,CMCC-ESM2,Inc,Correlation_ice_k,0.1755698549670306
271,Diatom,CMCC-ESM2,Dec,Correlation_ice_k,0.3022595797628196
272,MLD,CMCC-ESM2,Inc,Correlation_ice_k,-0.3796645117712203
273,MLD,CMCC-ESM2,Dec,Correlation_ice_k,-0.3059707958117422
274,Nitrate,CMCC-ESM2,Inc,Correlation_ice_k,-0.2669829609378353
275,Nitrate,CMCC-ESM2,Dec,Correlation_ice_k,-0.3479642109071864
276,PAR,CMCC-ESM2,Inc,Correlation_ice_k,0.0739947813823986
277,PAR,CMCC-ESM2,Dec,Correlation_ice_k,0.3804579184192739
278,Sea ice fraction,CMCC-ESM2,Inc,Correlation_ice_k,
279,Sea ice fraction,CMCC-ESM2,Dec,Correlation_ice_k,
280,SST,CMCC-ESM2,Inc,Correlation_ice_k,-0.7332636701078983
281,SST,CMCC-ESM2,Dec,Correlation_ice_k,-0.6808630327734109
282,NPP,EC-Earth3-CC,Inc,Correlation_ice_k,0.2157136300670641
283,NPP,EC-Earth3-CC,Dec,Correlation_ice_k,0.2203073579928391
284,Diatom,EC-Earth3-CC,Inc,Correlation_ice_k,0.1179876577245667
285,Diatom,EC-Earth3-CC,Dec,Correlation_ice_k,-0.0062900754617847
286,MLD,EC-Earth3-CC,Inc,Correlation_ice_k,-0.13241869785155
287,MLD,EC-Earth3-CC,Dec,Correlation_ice_k,-0.2592813638705623
288,Nitrate,EC-Earth3-CC,Inc,Correlation_ice_k,-0.3765072113992448
289,Nitrate,EC-Earth3-CC,Dec,Correlation_ice_k,-0.3948906656910122
290,PAR,EC-Earth3-CC,Inc,Correlation_ice_k,0.3816194478529708
291,PAR,EC-Earth3-CC,Dec,Correlation_ice_k,0.5154401657659956
292,Sea ice fraction,EC-Earth3-CC,Inc,Correlation_ice_k,
293,Sea ice fraction,EC-Earth3-CC,Dec,Correlation_ice_k,
294,SST,EC-Earth3-CC,Inc,Correlation_ice_k,-0.2644586477708289
295,SST,EC-Earth3-CC,Dec,Correlation_ice_k,-0.2777658435639774
296,Iron,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.2344219428269774
297,Iron,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.0405932223967599
298,NPP,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.1855230725154675
299,NPP,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.0467073036112782
300,Diatom,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.3350193725592721
301,Diatom,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.1015291703305946
302,MLD,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.4048790273914896
303,MLD,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.3492910904717926
304,Nitrate,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.5125270485835566
305,Nitrate,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.2278188518856425
306,PAR,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.2637991926938375
307,PAR,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.2855119568578099
308,Sea ice fraction,IPSL-CM6A-LR,Inc,Correlation_ice_k,
309,Sea ice fraction,IPSL-CM6A-LR,Dec,Correlation_ice_k,
310,SST,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.7332313690565528
311,SST,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.6775641357545865
312,Iron,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.2531247102423765
313,Iron,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.3861528472432037
314,NPP,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.1573031081644665
315,NPP,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0128846618058236
316,MLD,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.4271411501120514
317,MLD,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.5687438613905096
318,Nitrate,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.2586129974940836
319,Nitrate,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.3556774812156837
320,PAR,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.3451891969542488
321,PAR,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0103014381989743
322,Sea ice fraction,MPI-ESM1-2-HR,Inc,Correlation_ice_k,
323,Sea ice fraction,MPI-ESM1-2-HR,Dec,Correlation_ice_k,
324,SST,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.5796155825475279
325,SST,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.6797872073804344
326,Export,EC-Earth3-CC,Inc,Correlation_ice_k,0.2232226935117565
327,Export,EC-Earth3-CC,Dec,Correlation_ice_k,0.0395847071091283
328,Export,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.1262958881407702
329,Export,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0110329839425545
330,Export,ACCESS-ESM1-5,Inc,Correlation_ice_k,0.4869408852421175
331,Export,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.4520940906483075
332,Export,CMCC-ESM2,Inc,Correlation_ice_k,0.1588928864911349
333,Export,CMCC-ESM2,Dec,Correlation_ice_k,0.3992877147790922
334,Export,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.3439509379692889
335,Export,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.0399567509111719
336,Iron,ACCESS-ESM1-5,Inc,Correlation_npp,0.1026376809920142
337,Iron,ACCESS-ESM1-5,Dec,Correlation_npp,0.6630606569655147
338,NPP,ACCESS-ESM1-5,Inc,Correlation_npp,
339,NPP,ACCESS-ESM1-5,Dec,Correlation_npp,
340,MLD,ACCESS-ESM1-5,Inc,Correlation_npp,-0.0251804251261605
341,MLD,ACCESS-ESM1-5,Dec,Correlation_npp,-0.56216267768998
342,Nitrate,ACCESS-ESM1-5,Inc,Correlation_npp,-0.2826802311078154
343,Nitrate,ACCESS-ESM1-5,Dec,Correlation_npp,0.1093879804171838
344,PAR,ACCESS-ESM1-5,Inc,Correlation_npp,0.3646186875759097
345,PAR,ACCESS-ESM1-5,Dec,Correlation_npp,0.4223512900941846
346,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation_npp,0.2731902028641144
347,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_npp,-0.3608235380357454
348,SST,ACCESS-ESM1-5,Inc,Correlation_npp,-0.2849460337259363
349,SST,ACCESS-ESM1-5,Dec,Correlation_npp,0.4945011529712271
350,Iron,CMCC-ESM2,Inc,Correlation_npp,0.1323082484685672
351,Iron,CMCC-ESM2,Dec,Correlation_npp,0.2138646472485568
352,NPP,CMCC-ESM2,Inc,Correlation_npp,
353,NPP,CMCC-ESM2,Dec,Correlation_npp,
354,Diatom,CMCC-ESM2,Inc,Correlation_npp,0.9981528844320792
355,Diatom,CMCC-ESM2,Dec,Correlation_npp,0.9916952339765212
356,MLD,CMCC-ESM2,Inc,Correlation_npp,-0.0427104861617188
357,MLD,CMCC-ESM2,Dec,Correlation_npp,-0.0991210645464935
358,Nitrate,CMCC-ESM2,Inc,Correlation_npp,0.0859365106437611
359,Nitrate,CMCC-ESM2,Dec,Correlation_npp,0.034747286036345
360,PAR,CMCC-ESM2,Inc,Correlation_npp,0.9572949875593314
361,PAR,CMCC-ESM2,Dec,Correlation_npp,0.4759166173742807
362,Sea ice fraction,CMCC-ESM2,Inc,Correlation_npp,0.0600819419067357
