,Variable,Model,Season,Type,Correlation
345,PAR,ACCESS-ESM1-5,Winter,Correlation_npp,0.4080741326084704
346,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation_npp,0.3404564641800159
347,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation_npp,0.3565684932682677
348,SST,ACCESS-ESM1-5,Summer,Correlation_npp,-0.1649318591783465
349,SST,ACCESS-ESM1-5,Winter,Correlation_npp,-0.3741138370555172
350,Iron,CMCC-ESM2,Summer,Correlation_npp,-0.0330810905664903
351,Iron,CMCC-ESM2,Winter,Correlation_npp,-0.0210586184502498
352,NPP,CMCC-ESM2,Summer,Correlation_npp,
353,NPP,CMCC-ESM2,Winter,Correlation_npp,
354,Diatom,CMCC-ESM2,Summer,Correlation_npp,0.9935210351138908
355,Diatom,CMCC-ESM2,Winter,Correlation_npp,-0.0012754964227308
356,MLD,CMCC-ESM2,Summer,Correlation_npp,-0.0657858299206971
357,MLD,CMCC-ESM2,Winter,Correlation_npp,0.0119564950756382
358,Nitrate,CMCC-ESM2,Summer,Correlation_npp,-0.1900188985070548
359,Nitrate,CMCC-ESM2,Winter,Correlation_npp,-0.0026802293914432
360,PAR,CMCC-ESM2,Summer,Correlation_npp,0.8930173593412419
361,PAR,CMCC-ESM2,Winter,Correlation_npp,0.0025098837884419
362,Sea ice fraction,CMCC-ESM2,Summer,Correlation_npp,0.2698109939273448
363,Sea ice fraction,CMCC-ESM2,Winter,Correlation_npp,-0.0104971058542114
364,SST,CMCC-ESM2,Summer,Correlation_npp,-0.0880882419970806
365,SST,CMCC-ESM2,Winter,Correlation_npp,0.0172439077654272
